id,mylga,mylga_state,ward,community,facility_name,facility_type
3645,aba_north,abia,e,Eziama,Eziama P H C,primaryhealthcarecentre
3740,aba_north,abia,Ogbor Ward 2,Ogbor Community,OGBOR HILL CLINIC,primaryhealthclinic
3952,aba_north,abia,Umuogor,Asoke Amato,Osoke Amato PHC,primaryhealthclinic
3953,aba_north,abia,Umuogor,Osoke Amaise,Umuogorosoke Health Centre,primaryhealthcarecentre
4017,aba_north,abia,10,Umuola Egbelu,Umuola Egbelu primary health centre,primaryhealthcarecentre
4045,aba_north,abia,xxx,Osusu,Osusu H C,primaryhealthcarecentre
4117,aba_north,abia,8,Umuola,Seventh day Adventist hospital,comprehensivehealthcentre
4128,aba_north,abia,Uratta,Umugbuji,Uratta Health Centre,primaryhealthcarecentre
4690,aba_north,abia,Asaokpuaja,Asaokpuaja,Asaokpuaja Health Centre,healthpostdispensary
4695,aba_north,abia,Asaokpuaja,Asaokpuaja,Asaokpuaja Health Centre,healthpostdispensary
